user_id,tenure_months,rides_per_month,food_orders_per_month,quik_orders_per_month,pay_txns_per_month,verticals_active,careem_plus,promo_share,days_since_last_activity,captain_cancellations_90d,avg_wait_time_min,surge_exposure_share,refund_delays_90d,delivery_delays_90d,failed_payments_90d,support_tickets_90d,monthly_spend_aed,churned
u_000000,20.8,7.6,0.0,1.1,0.0,2,1,0.57,9.0,1,18.9,0.24,0,0,0,0,220.0,0
u_000001,27.8,3.9,4.0,0.0,0.0,2,1,0.11,4.0,1,3.3,0.42,0,0,0,0,251.0,0
u_000002,18.4,8.2,5.0,0.0,0.0,2,0,0.23,0.0,0,3.5,0.34,0,0,0,0,380.0,0
u_000003,16.6,1.6,0.0,0.0,0.0,1,0,0.06,20.0,0,2.3,0.02,0,0,0,0,46.0,0
u_000004,30.1,1.1,0.0,11.3,0.0,2,0,0.2,3.0,1,3.7,0.33,0,0,0,1,372.0,0
u_000005,17.6,5.4,0.0,0.9,5.5,3,0,0.4,13.0,0,8.6,0.12,0,0,0,0,194.0,0
u_000006,23.2,1.5,5.5,1.5,7.0,4,1,0.5,6.0,0,2.7,0.32,0,0,0,0,346.0,0
u_000007,21.8,0.0,0.0,0.0,0.0,0,0,0.17,12.0,0,0.0,0.0,0,0,0,0,14.0,0
u_000008,30.1,0.0,3.7,2.9,0.0,2,0,0.17,2.0,0,0.0,0.0,0,0,0,1,228.0,0
u_000009,14.6,7.4,1.8,0.0,5.6,3,0,0.36,13.0,0,8.5,0.16,0,0,0,0,271.0,0
u_000010,36.8,5.9,8.5,0.0,0.0,2,0,0.22,4.0,0,4.3,0.04,0,0,1,0,475.0,0
u_000011,12.1,0.0,5.0,8.2,0.0,2,0,0.3,2.0,0,0.0,0.0,0,0,0,0,449.0,0
u_000012,24.2,6.2,0.0,0.0,0.0,1,0,0.12,5.0,0,5.0,0.18,0,0,0,0,158.0,1
u_000013,22.4,1.7,1.5,0.0,6.3,3,0,0.26,16.0,0,3.7,0.02,0,0,0,0,139.0,0
u_000014,11.3,7.8,0.0,3.0,9.5,3,0,0.26,2.0,1,11.1,0.18,0,0,0,0,339.0,0
u_000015,25.6,2.7,0.0,5.3,0.0,2,0,0.22,15.0,0,6.6,0.22,0,0,0,2,231.0,0
u_000016,15.4,3.8,3.2,2.6,33.7,4,0,0.16,1.0,1,8.0,0.16,0,0,0,0,490.0,0
u_000017,8.6,0.0,0.0,0.0,0.0,0,0,0.13,5.0,0,0.0,0.0,0,0,1,0,34.0,0
u_000018,27.7,1.4,0.0,1.1,8.6,3,0,0.6,4.0,1,12.5,0.16,0,0,0,2,177.0,1
u_000019,6.1,30.5,1.5,0.0,9.6,3,0,0.41,1.0,3,2.3,0.13,0,0,0,2,789.0,0
u_000020,9.9,2.3,3.0,0.0,0.0,2,0,0.13,35.0,1,3.3,0.22,0,1,0,0,178.0,1
u_000021,18.3,0.6,0.0,0.0,0.0,1,0,0.09,20.0,1,10.5,0.06,0,1,0,2,34.0,0
u_000022,30.0,8.5,2.7,6.7,7.2,4,0,0.22,1.0,1,12.5,0.34,0,0,0,0,568.0,0
u_000023,26.6,0.0,0.0,0.0,9.0,1,0,0.3,4.0,0,0.0,0.0,0,0,1,1,55.0,0
u_000024,20.6,4.3,1.0,1.0,0.0,3,0,0.56,5.0,2,1.4,0.31,0,0,0,1,180.0,0
u_000025,4.5,9.6,0.3,0.0,0.0,1,0,0.65,7.0,0,1.1,0.22,0,0,0,2,226.0,1
u_000026,11.7,4.9,0.0,0.0,0.0,1,0,0.46,10.0,1,2.1,0.3,0,0,1,0,125.0,0
u_000027,13.6,3.7,1.9,0.0,0.0,2,0,0.73,10.0,0,2.2,0.08,0,1,0,1,172.0,0
